15	15	E	-1.1561375085561074E7	169
emissionprobs	7	12	H3k9me1StdAlnRep1	0	0.998433123201741
emissionprobs	7	12	H3k9me1StdAlnRep1	1	0.001566876798258933
emissionprobs	7	13	H4k20me1StdAlnRep1	0	0.9945643692315876
emissionprobs	7	13	H4k20me1StdAlnRep1	1	0.0054356307684123644
emissionprobs	7	14	Pol2bStdAlnRep1	0	0.9774450317055843
emissionprobs	7	14	Pol2bStdAlnRep1	1	0.022554968294415723
emissionprobs	8	0	CtcfStdAlnRep1	0	0.677842766684289
emissionprobs	8	0	CtcfStdAlnRep1	1	0.322157233315711
emissionprobs	8	1	Ezh239875AlnRep1	0	0.8995398923151838
emissionprobs	8	1	Ezh239875AlnRep1	1	0.1004601076848162
emissionprobs	8	2	H2azAlnRep1	0	0.7490012815574657
emissionprobs	8	2	H2azAlnRep1	1	0.25099871844253424
emissionprobs	8	3	H3k09me3AlnRep1	0	0.9979512145004822
emissionprobs	8	3	H3k09me3AlnRep1	1	0.002048785499517866
emissionprobs	8	4	H3k27acStdAlnRep1	0	0.9919184437612636
emissionprobs	8	4	H3k27acStdAlnRep1	1	0.008081556238736461
emissionprobs	8	5	H3k27me3StdAlnRep1	0	0.9919597557394423
emissionprobs	8	5	H3k27me3StdAlnRep1	1	0.008040244260557746
emissionprobs	8	6	H3k36me3StdAlnRep1	0	0.9992162148801847
emissionprobs	8	6	H3k36me3StdAlnRep1	1	7.837851198153536E-4
emissionprobs	8	7	H3k4me1StdAlnRep1	0	0.9504217590492786
emissionprobs	8	7	H3k4me1StdAlnRep1	1	0.04957824095072143
emissionprobs	8	8	H3k4me2StdAlnRep1	0	0.9607711649200803
emissionprobs	8	8	H3k4me2StdAlnRep1	1	0.039228835079919665
emissionprobs	8	9	H3k4me3StdAlnRep1	0	0.9958010971509509
emissionprobs	8	9	H3k4me3StdAlnRep1	1	0.004198902849049082
emissionprobs	8	10	H3k79me2AlnRep1	0	0.9973826357081182
emissionprobs	8	10	H3k79me2AlnRep1	1	0.0026173642918818226
emissionprobs	8	11	H3k9acStdAlnRep1	0	0.9948895074420877
emissionprobs	8	11	H3k9acStdAlnRep1	1	0.0051104925579124
emissionprobs	8	12	H3k9me1StdAlnRep1	0	0.9978431839911504
emissionprobs	8	12	H3k9me1StdAlnRep1	1	0.002156816008849729
emissionprobs	8	13	H4k20me1StdAlnRep1	0	0.9984681358498975
emissionprobs	8	13	H4k20me1StdAlnRep1	1	0.0015318641501025662
emissionprobs	8	14	Pol2bStdAlnRep1	0	0.966935558787155
emissionprobs	8	14	Pol2bStdAlnRep1	1	0.03306444121284492
emissionprobs	9	0	CtcfStdAlnRep1	0	0.8780949801453612
emissionprobs	9	0	CtcfStdAlnRep1	1	0.12190501985463884
emissionprobs	9	1	Ezh239875AlnRep1	0	0.7269442281971688
emissionprobs	9	1	Ezh239875AlnRep1	1	0.27305577180283114
emissionprobs	9	2	H2azAlnRep1	0	0.14738791994307038
emissionprobs	9	2	H2azAlnRep1	1	0.8526120800569296
emissionprobs	9	3	H3k09me3AlnRep1	0	0.9977232676197152
emissionprobs	9	3	H3k09me3AlnRep1	1	0.0022767323802849126
emissionprobs	9	4	H3k27acStdAlnRep1	0	0.8165152366888238
emissionprobs	9	4	H3k27acStdAlnRep1	1	0.18348476331117625
emissionprobs	9	5	H3k27me3StdAlnRep1	0	0.9577914173137235
emissionprobs	9	5	H3k27me3StdAlnRep1	1	0.04220858268627651
emissionprobs	9	6	H3k36me3StdAlnRep1	0	0.9994276448072428
emissionprobs	9	6	H3k36me3StdAlnRep1	1	5.723551927572291E-4
emissionprobs	9	7	H3k4me1StdAlnRep1	0	0.7086752650715425
